Title	URL	Assignees	Status	Sprint	Weight	Milestone	Linked pull requests	Repository	Date
Diseñar y elegir logo	https://github.com/SchoolSyncAr/schoolsync-fe/issues/1	francopolesel	Done	Sprint 1	2	UX/UI		SchoolSyncAr/schoolsync-fe	
Usuario Admin: Crear componente Dashboard	https://github.com/SchoolSyncAr/schoolsync-fe/issues/7	calipast	Done	Sprint 1	2	Vista Dashboard Administrador		SchoolSyncAr/schoolsync-fe	
Login: crear service para conectar con BE	https://github.com/SchoolSyncAr/schoolsync-fe/issues/8	francopolesel	Done	Sprint 1	2	Integración con Backend		SchoolSyncAr/schoolsync-fe	
Usuario Padre: Diseño de la vista notificaciones	https://github.com/SchoolSyncAr/schoolsync-fe/issues/4	Lopez-Sol	Done	Sprint 1	2	Vista Notificaciones Padre		SchoolSyncAr/schoolsync-fe	
Usuario Padre: Crear Componente Home	https://github.com/SchoolSyncAr/schoolsync-fe/issues/5	calipast	Done	Sprint 1	2	Vista dashboard Padre		SchoolSyncAr/schoolsync-fe	
Usuario Padre: Crear Service	https://github.com/SchoolSyncAr/schoolsync-fe/issues/6	calipast	Done	Sprint 1	2	Integración con Backend		SchoolSyncAr/schoolsync-fe	
Inicialización de entorno desarrollo frontend	https://github.com/SchoolSyncAr/schoolsync-fe/issues/3	madescoces	Done	Sprint 1	3	Arquitectura FE		SchoolSyncAr/schoolsync-fe	
Login: crear vista	https://github.com/SchoolSyncAr/schoolsync-fe/issues/9	madescoces	Done	Sprint 1	1		https://github.com/SchoolSyncAr/schoolsync-fe/pull/21	SchoolSyncAr/schoolsync-fe	
Usuario Admin: crear service	https://github.com/SchoolSyncAr/schoolsync-fe/issues/10	calipast	Done	Sprint 1	2	Integración con Backend		SchoolSyncAr/schoolsync-fe	
General: crear componente Nav bar	https://github.com/SchoolSyncAr/schoolsync-fe/issues/11	JuanTexeira	Done	Sprint 1	1	UX/UI		SchoolSyncAr/schoolsync-fe	
Configuracion de Entorno	https://github.com/SchoolSyncAr/schoolsync-be/issues/1	madescoces	Done	Sprint 1	2			SchoolSyncAr/schoolsync-be	
Modelo de Datos	https://github.com/SchoolSyncAr/schoolsync-be/issues/2	picsfrunk	Done	Sprint 1	3			SchoolSyncAr/schoolsync-be	
API para Notificaciones	https://github.com/SchoolSyncAr/schoolsync-be/issues/3	calipast	Done	Sprint 1	1			SchoolSyncAr/schoolsync-be	
Login: Seguridad y Autenticación	https://github.com/SchoolSyncAr/schoolsync-be/issues/4	madescoces	Done	Sprint 1	3			SchoolSyncAr/schoolsync-be	
Crear Endpoints	https://github.com/SchoolSyncAr/schoolsync-be/issues/5	francopolesel	Done	Sprint 1	2			SchoolSyncAr/schoolsync-be	
Crear objetos de dominio: Usuarios	https://github.com/SchoolSyncAr/schoolsync-be/issues/6	calipast	Done	Sprint 1	1			SchoolSyncAr/schoolsync-be	
Crear Bootstrap	https://github.com/SchoolSyncAr/schoolsync-be/issues/7	calipast	Done	Sprint 1	1			SchoolSyncAr/schoolsync-be	
Agregar Swagger	https://github.com/SchoolSyncAr/schoolsync-be/issues/8	picsfrunk	Done	Sprint 1	1			SchoolSyncAr/schoolsync-be	
Controller + Service counter notificaciones navbar	https://github.com/SchoolSyncAr/schoolsync-be/issues/14	JuanTexeira	Done	Sprint 1	2			SchoolSyncAr/schoolsync-be	
Service counter notificaciones navbar	https://github.com/SchoolSyncAr/schoolsync-fe/issues/19	JuanTexeira	Done	Sprint 1	2	Integración con Backend		SchoolSyncAr/schoolsync-fe	
Diseño de la card de Notificaciones	https://github.com/SchoolSyncAr/schoolsync-fe/issues/20	Lopez-Sol	Done	Sprint 1	2			SchoolSyncAr/schoolsync-fe	
Correciones de mayusculas traviesas mas path modifications	https://github.com/SchoolSyncAr/schoolsync-fe/issues/24	madescoces	Done	Sprint 2	1			SchoolSyncAr/schoolsync-fe	
Paths relativos para los imports	https://github.com/SchoolSyncAr/schoolsync-fe/issues/26	madescoces	Done	Sprint 2	1			SchoolSyncAr/schoolsync-fe	
Upgrade notification service + env	https://github.com/SchoolSyncAr/schoolsync-fe/issues/28	madescoces	Done	Sprint 2	2		https://github.com/SchoolSyncAr/schoolsync-fe/pull/29	SchoolSyncAr/schoolsync-fe	
Implementar eliminacion de notificacion	https://github.com/SchoolSyncAr/schoolsync-be/issues/17	calipast	Done	Sprint 2	2			SchoolSyncAr/schoolsync-be	
Implementar eliminacion de notificacion	https://github.com/SchoolSyncAr/schoolsync-fe/issues/30	calipast	Done	Sprint 2	2			SchoolSyncAr/schoolsync-fe	
Dashboard Admin: Crear notificaciones -> Mejorar Vista en base a maqueta	https://github.com/SchoolSyncAr/schoolsync-fe/issues/31	Lopez-Sol	Done	Sprint 3	2			SchoolSyncAr/schoolsync-fe	
Crear componente para ordenamiento de notificaciones	https://github.com/SchoolSyncAr/schoolsync-fe/issues/32	francopolesel, JuanTexeira	Done	Sprint 3	2			SchoolSyncAr/schoolsync-fe	
Implementar notificacion nueva/leida	https://github.com/SchoolSyncAr/schoolsync-be/issues/18	JuanTexeira	Done	Sprint 2	2			SchoolSyncAr/schoolsync-be	
Modelar Importancia de Notificacion	https://github.com/SchoolSyncAr/schoolsync-be/issues/19	JuanTexeira	Done	Sprint 2	1			SchoolSyncAr/schoolsync-be	
Agregar searchbar en notificaciones	https://github.com/SchoolSyncAr/schoolsync-fe/issues/33	francopolesel	Done	Sprint 2	2			SchoolSyncAr/schoolsync-fe	
Maqueta Vista Notificaciones	https://github.com/SchoolSyncAr/schoolsync-fe/issues/35	Lopez-Sol	Done	Sprint 3	2			SchoolSyncAr/schoolsync-fe	
